number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
0,0.8091506849315069,2026-02-14 23:11:26.633478,2026-02-14 23:22:46.649545,0 days 00:11:20.016067,64,0.30673257824787586,512,0.0008858959635662728,3,1.6061949156274486e-05,COMPLETE
1,0.803068493150685,2026-02-14 23:22:46.650634,2026-02-14 23:30:38.441541,0 days 00:07:51.790907,128,0.15748470515581697,256,0.0007334864828716476,4,0.00018554687089747545,COMPLETE
2,0.8005479452054794,2026-02-14 23:30:38.442336,2026-02-14 23:44:21.849026,0 days 00:13:43.406690,64,0.45244641743043246,512,0.002699336857025173,4,7.446450805886968e-05,COMPLETE
3,0.7909041095890411,2026-02-14 23:44:21.850699,2026-02-14 23:59:18.588054,0 days 00:14:56.737355,128,0.3108064392793288,512,0.00029774313877709355,6,2.794630665582707e-05,COMPLETE
4,0.7710684931506849,2026-02-14 23:59:18.588987,2026-02-15 00:13:54.091709,0 days 00:14:35.502722,64,0.34909998692732147,128,0.0028326693540297095,6,0.00010931811393840687,COMPLETE
5,0.7846575342465754,2026-02-15 00:13:54.092561,2026-02-15 00:20:39.393876,0 days 00:06:45.301315,128,0.21341410930460003,512,0.00044498502988326856,4,0.00018095986987932188,PRUNED
6,0.7385753424657534,2026-02-15 00:20:39.394847,2026-02-15 00:22:09.912494,0 days 00:01:30.517647,256,0.42510292384705467,512,0.000684927587961074,3,0.0009346788956018422,PRUNED
7,0.7383561643835617,2026-02-15 00:22:09.913397,2026-02-15 00:25:24.442071,0 days 00:03:14.528674,64,0.45300501224283735,512,0.0004451270530111792,5,8.677953443120123e-05,PRUNED
8,0.7238356164383561,2026-02-15 00:25:24.442868,2026-02-15 00:27:16.764372,0 days 00:01:52.321504,128,0.4448207503599512,128,0.004414173956503069,6,0.00044264200025671385,PRUNED
9,0.7295342465753425,2026-02-15 00:27:16.765142,2026-02-15 00:29:55.698705,0 days 00:02:38.933563,64,0.4305937467153869,128,0.0017301515944450497,5,0.0008008104154433749,PRUNED
10,0.7989041095890411,2026-02-15 00:29:55.699648,2026-02-15 00:35:43.977901,0 days 00:05:48.278253,256,0.03496931482691229,256,0.00011068698653809631,3,1.4687713904305477e-05,PRUNED
11,0.7401095890410959,2026-02-15 00:35:43.978867,2026-02-15 00:37:09.685730,0 days 00:01:25.706863,128,0.13874470792462404,256,0.00939113121586493,3,1.0454571699100227e-05,PRUNED
12,0.8048767123287671,2026-02-15 00:37:09.686505,2026-02-15 00:48:55.958368,0 days 00:11:46.271863,64,0.1867540873508604,256,0.0009590583397591536,4,3.863730629472473e-05,COMPLETE
13,0.8013698630136986,2026-02-15 00:48:55.959121,2026-02-15 00:59:39.220334,0 days 00:10:43.261213,64,0.2697552769695945,256,0.001273674028335282,3,2.6957995978457778e-05,COMPLETE
14,0.8054794520547945,2026-02-15 00:59:39.221340,2026-02-15 01:11:21.390845,0 days 00:11:42.169505,64,0.07779881155633839,256,0.00017457217328613285,4,3.220053994261378e-05,COMPLETE
15,0.8048219178082192,2026-02-15 01:11:21.391628,2026-02-15 01:27:26.455536,0 days 00:16:05.063908,64,0.00525785880379756,512,0.00014152451326268962,5,1.6784599417703116e-05,COMPLETE
16,0.7722739726027398,2026-02-15 01:27:26.456282,2026-02-15 01:31:17.538595,0 days 00:03:51.082313,64,0.08573870593567312,256,0.00019135493446842384,3,4.1790575682106536e-05,PRUNED
17,0.7559452054794521,2026-02-15 01:31:17.539477,2026-02-15 01:34:06.083189,0 days 00:02:48.543712,256,0.35179772476101095,512,0.00026347160881605273,4,1.9760205732777088e-05,PRUNED
18,0.745041095890411,2026-02-15 01:34:06.083998,2026-02-15 01:36:08.007345,0 days 00:02:01.923347,64,0.25453547065704857,256,0.0004235870938616065,3,1.0898911507875241e-05,PRUNED
19,0.7613150684931507,2026-02-15 01:36:08.008151,2026-02-15 01:39:51.476431,0 days 00:03:43.468280,64,0.10011321949962718,128,0.00020909182346772677,4,5.2484330557044953e-05,PRUNED
20,0.7238904109589042,2026-02-15 01:39:51.477256,2026-02-15 01:42:07.236851,0 days 00:02:15.759595,256,0.38097698611522685,512,0.007028492575534132,5,2.1813037071666825e-05,PRUNED
21,0.7486027397260274,2026-02-15 01:42:07.237764,2026-02-15 01:44:26.376506,0 days 00:02:19.138742,64,0.19894773514387862,256,0.0010936904799204066,4,4.181011522370271e-05,PRUNED
22,0.7484931506849315,2026-02-15 01:44:26.377306,2026-02-15 01:46:46.364287,0 days 00:02:19.986981,64,0.20130677005528108,256,0.0018845799778180318,4,3.6343900387158055e-05,PRUNED
23,0.8021917808219178,2026-02-15 01:46:46.365110,2026-02-15 01:58:22.504671,0 days 00:11:36.139561,64,0.08151302215378173,256,0.0007109896383453055,4,6.348017910563476e-05,COMPLETE
24,0.7604931506849315,2026-02-15 01:58:22.505496,2026-02-15 02:01:36.624798,0 days 00:03:14.119302,64,0.2882444639926428,256,0.0008998626773821666,3,0.00013566011989801758,PRUNED
25,0.7453150684931507,2026-02-15 02:01:36.625621,2026-02-15 02:04:13.802627,0 days 00:02:37.177006,64,0.14212546851639196,256,0.001528101100011235,5,2.9393762647763384e-05,PRUNED
26,0.7447123287671232,2026-02-15 02:04:13.803517,2026-02-15 02:06:33.105766,0 days 00:02:19.302249,64,0.2364484324378954,256,0.0028526398438017343,4,1.5725687095274695e-05,PRUNED
27,0.8077808219178082,2026-02-15 02:06:33.106589,2026-02-15 02:16:42.296171,0 days 00:10:09.189582,64,0.03948893634732231,256,0.0005454529908774633,3,5.7560598361676625e-05,COMPLETE
28,0.7432328767123287,2026-02-15 02:16:42.296885,2026-02-15 02:18:47.987482,0 days 00:02:05.690597,256,0.036700940856924075,512,0.00033268472733872937,3,0.0003139343600676385,PRUNED
29,0.7273972602739726,2026-02-15 02:18:47.988182,2026-02-15 02:20:50.256551,0 days 00:02:02.268369,64,0.49391067399684224,128,0.0005560776932355445,3,5.680311060181131e-05,PRUNED
30,0.7681643835616438,2026-02-15 02:20:50.257452,2026-02-15 02:23:06.628097,0 days 00:02:16.370645,128,0.11114987955546693,256,0.00010280683018332385,3,0.00012621912127583918,PRUNED
31,0.745972602739726,2026-02-15 02:23:06.628879,2026-02-15 02:25:27.533652,0 days 00:02:20.904773,64,0.16999942863961573,256,0.0009305627658887604,4,3.5731860672925514e-05,PRUNED
32,0.7903013698630137,2026-02-15 02:25:27.534452,2026-02-15 02:32:47.653764,0 days 00:07:20.119312,64,0.05101577004623472,256,0.0006158968792931247,4,7.670039913379059e-05,PRUNED
33,0.7614794520547945,2026-02-15 02:32:47.654538,2026-02-15 02:36:31.635038,0 days 00:03:43.980500,64,0.005428526155695529,256,0.0008487582725160392,4,2.7024329714710186e-05,PRUNED
34,0.7482739726027398,2026-02-15 02:36:31.635859,2026-02-15 02:38:33.088158,0 days 00:02:01.452299,64,0.31333906488387214,256,0.0023660760741974424,3,5.585970158107045e-05,PRUNED
35,0.7514520547945206,2026-02-15 02:38:33.088919,2026-02-15 02:41:18.222213,0 days 00:02:45.133294,64,0.05637659205597147,512,0.00033559592437181884,4,1.9623809686782233e-05,PRUNED
36,0.7479452054794521,2026-02-15 02:41:18.223028,2026-02-15 02:43:34.295857,0 days 00:02:16.072829,64,0.16487672471606635,512,0.0005279597672621937,3,4.373296998062514e-05,PRUNED
37,0.7296438356164383,2026-02-15 02:43:34.296710,2026-02-15 02:45:19.347480,0 days 00:01:45.050770,128,0.13006006443300364,256,0.0012605707451668847,5,1.2597120604986504e-05,PRUNED
38,0.7503013698630137,2026-02-15 02:45:19.348255,2026-02-15 02:47:36.348616,0 days 00:02:17.000361,64,0.3217840273760867,512,0.00019697429821529655,3,2.2586265620261528e-05,PRUNED
39,0.7503561643835617,2026-02-15 02:47:36.349391,2026-02-15 02:49:57.844663,0 days 00:02:21.495272,64,0.1801706710583777,128,0.0002549211378486396,4,8.921105829970562e-05,PRUNED
40,0.7508493150684932,2026-02-15 02:49:57.845644,2026-02-15 02:51:54.778708,0 days 00:01:56.933064,128,0.23689929785088107,256,0.00014225044799623287,6,0.0001825364419131329,PRUNED
41,0.792986301369863,2026-02-15 02:51:54.779799,2026-02-15 03:05:07.747907,0 days 00:13:12.968108,64,0.015969953662849406,512,0.0001314872467928785,5,3.1775225975398516e-05,PRUNED
42,0.8026301369863014,2026-02-15 03:05:07.748818,2026-02-15 03:21:13.396284,0 days 00:16:05.647466,64,0.00044334431974475935,512,0.0001532739018565953,5,1.4649030856107962e-05,COMPLETE
43,0.7386301369863014,2026-02-15 03:21:13.397213,2026-02-15 03:24:26.581661,0 days 00:03:13.184448,64,0.06965300937756652,512,0.00039995729251445905,5,1.771218465019198e-05,PRUNED
44,0.7653150684931507,2026-02-15 03:24:26.582543,2026-02-15 03:29:16.995688,0 days 00:04:50.413145,64,0.029561723316936517,512,0.0001560188102912434,5,2.573384422713174e-05,PRUNED
45,0.7257534246575342,2026-02-15 03:29:16.996648,2026-02-15 03:31:57.019385,0 days 00:02:40.022737,256,0.11657841248164855,512,0.000768884796860467,6,4.708311128308279e-05,PRUNED
46,0.7466301369863013,2026-02-15 03:31:57.020147,2026-02-15 03:35:10.857981,0 days 00:03:13.837834,64,0.3871175743725751,512,0.0002528137879261977,5,7.408229725180996e-05,PRUNED
47,0.7876164383561644,2026-02-15 03:35:10.858919,2026-02-15 03:41:18.909528,0 days 00:06:08.050609,64,0.06699091573526905,128,0.0011177349405542937,3,1.3361792955592423e-05,PRUNED
48,0.7432328767123287,2026-02-15 03:41:18.910411,2026-02-15 03:43:21.189806,0 days 00:02:02.279395,64,0.28608366723583023,256,0.00378068430920682,3,3.423811259487816e-05,PRUNED
49,0.7532054794520548,2026-02-15 03:43:21.190685,2026-02-15 03:45:44.578020,0 days 00:02:23.387335,128,0.0910387235016189,512,0.0005065559656188928,4,1.752487564598435e-05,PRUNED
50,0.7885479452054794,2026-02-15 03:45:44.578771,2026-02-15 03:50:09.262181,0 days 00:04:24.683410,256,0.03261311913661285,256,0.00012062637710817899,5,1.0570869124124426e-05,PRUNED
51,0.7758356164383562,2026-02-15 03:50:09.263136,2026-02-15 03:53:38.277716,0 days 00:03:29.014580,128,0.15053460030560828,256,0.0006871292124654399,4,0.00014385210910194704,PRUNED
52,0.7463013698630137,2026-02-15 03:53:38.278549,2026-02-15 03:55:12.645662,0 days 00:01:34.367113,128,0.11934244758454039,256,0.0015139972012521146,4,0.0002741968824105981,PRUNED
53,0.7516712328767123,2026-02-15 03:55:12.646556,2026-02-15 03:56:47.795149,0 days 00:01:35.148593,128,0.04681726422914512,256,0.0010261054643272676,4,0.00018692119775677818,PRUNED
54,0.7917808219178082,2026-02-15 03:56:47.795929,2026-02-15 04:02:38.009490,0 days 00:05:50.213561,128,0.20290396707381042,256,0.0003713635472308909,4,0.00010496974853986146,PRUNED
55,0.7475068493150685,2026-02-15 04:02:38.010260,2026-02-15 04:04:40.406678,0 days 00:02:02.396418,64,0.33560841844425143,256,0.00017681663555496854,3,0.000605450178938828,PRUNED
56,0.7566027397260274,2026-02-15 04:04:40.407621,2026-02-15 04:07:28.688502,0 days 00:02:48.280881,64,0.23197197944013706,128,0.00022286602191662366,4,0.00024286219259423472,PRUNED
57,0.7530410958904109,2026-02-15 04:07:28.689342,2026-02-15 04:09:43.381462,0 days 00:02:14.692120,64,0.2575763511083256,256,0.0004668760453067919,3,7.021157912478529e-05,PRUNED
58,0.7408219178082192,2026-02-15 04:09:43.382205,2026-02-15 04:12:01.579771,0 days 00:02:18.197566,256,0.018579386515643295,512,0.001879286898278027,5,4.05444443336449e-05,PRUNED
59,0.8103561643835616,2026-02-15 04:12:01.580613,2026-02-15 04:23:54.865753,0 days 00:11:53.285140,64,0.09860985607048317,256,0.0007999328317891114,4,2.384628291816241e-05,COMPLETE
60,0.7502465753424657,2026-02-15 04:23:54.866737,2026-02-15 04:26:30.859578,0 days 00:02:35.992841,64,0.07798319048858586,256,0.0006020099872949463,4,2.3867408970537323e-05,PRUNED
61,0.7391780821917808,2026-02-15 04:26:30.860292,2026-02-15 04:28:51.876655,0 days 00:02:21.016363,64,0.15333641713355622,256,0.0007633917703531363,4,3.0709674661176284e-05,PRUNED
62,0.741041095890411,2026-02-15 04:28:51.877547,2026-02-15 04:31:13.131890,0 days 00:02:21.254343,64,0.10046361396949872,256,0.001257270985700779,4,2.2220237498421697e-05,PRUNED
63,0.749041095890411,2026-02-15 04:31:13.132739,2026-02-15 04:33:47.695415,0 days 00:02:34.562676,64,0.18597422510754283,256,0.000635218145445485,4,1.840505141745955e-05,PRUNED
64,0.8075068493150684,2026-02-15 04:33:47.696221,2026-02-15 04:43:54.427878,0 days 00:10:06.731657,64,0.09446637083865975,256,0.000837464824949126,3,0.00038709065425590416,COMPLETE
65,0.8097534246575342,2026-02-15 04:43:54.428642,2026-02-15 04:54:01.368372,0 days 00:10:06.939730,64,0.05415270584774818,256,0.001446663575683595,3,1.2701917347550132e-05,COMPLETE
66,0.7227945205479452,2026-02-15 04:54:01.369145,2026-02-15 04:56:02.740350,0 days 00:02:01.371205,64,0.09992023915728007,256,0.0021996966418790925,3,0.0004149461312330614,PRUNED
67,0.8091506849315069,2026-02-15 04:56:02.741181,2026-02-15 05:06:12.440219,0 days 00:10:09.699038,64,0.055951529467685085,256,0.0008528726248641949,3,1.2529649118546464e-05,COMPLETE
68,0.7715616438356164,2026-02-15 05:06:12.441022,2026-02-15 05:09:44.160516,0 days 00:03:31.719494,64,0.0614160204792373,256,0.0015097641315445966,3,1.1899756076151095e-05,PRUNED
69,0.809041095890411,2026-02-15 05:09:44.161378,2026-02-15 05:19:58.960295,0 days 00:10:14.798917,64,0.04764816615211358,256,0.0008203848905971441,3,1.4111938928367036e-05,COMPLETE
70,0.8106849315068493,2026-02-15 05:19:58.961053,2026-02-15 05:30:13.861826,0 days 00:10:14.900773,64,0.04821922755593036,256,0.0008007016085176578,3,1.5408221478908417e-05,COMPLETE
71,0.8092602739726027,2026-02-15 05:30:13.862800,2026-02-15 05:40:29.312187,0 days 00:10:15.449387,64,0.04414584366726632,256,0.0008453232016575269,3,1.4784144348971396e-05,COMPLETE
72,0.7624109589041096,2026-02-15 05:40:29.313156,2026-02-15 05:42:57.139139,0 days 00:02:27.825983,64,0.04723607087744228,256,0.0010164197978726188,3,1.4563005023942184e-05,PRUNED
73,0.8106301369863014,2026-02-15 05:42:57.139984,2026-02-15 05:53:12.656423,0 days 00:10:15.516439,64,0.0212898665681326,256,0.0011275319538961424,3,1.0006900008249846e-05,COMPLETE
74,0.7605479452054794,2026-02-15 05:53:12.657395,2026-02-15 05:55:40.689682,0 days 00:02:28.032287,64,0.020465598652944103,256,0.0013820882386376494,3,1.1382132774608943e-05,PRUNED
75,0.8105753424657535,2026-02-15 05:55:40.690467,2026-02-15 06:05:58.143405,0 days 00:10:17.452938,64,0.05935503355954848,256,0.001166187336795718,3,1.3253489069265724e-05,COMPLETE
76,0.8103561643835616,2026-02-15 06:05:58.144302,2026-02-15 06:16:11.259434,0 days 00:10:13.115132,64,0.07200522813453811,256,0.0010754110576659311,3,1.0094469271353637e-05,COMPLETE
77,0.7624109589041096,2026-02-15 06:16:11.260173,2026-02-15 06:18:38.689510,0 days 00:02:27.429337,64,0.07542507639593587,256,0.001133061378820656,3,1.5924001357494495e-05,PRUNED
78,0.8092054794520548,2026-02-15 06:18:38.690379,2026-02-15 06:28:51.951307,0 days 00:10:13.260928,64,0.020907287487210477,256,0.0017490621525384482,3,1.0130453651651425e-05,COMPLETE
79,0.7566575342465753,2026-02-15 06:28:51.952153,2026-02-15 06:30:55.320690,0 days 00:02:03.368537,64,0.021124486411205727,256,0.00169496299246244,3,1.0051091657412885e-05,PRUNED
80,0.758958904109589,2026-02-15 06:30:55.321638,2026-02-15 06:33:23.677684,0 days 00:02:28.356046,64,0.008208613840055737,256,0.002218103485797572,3,1.00538153454455e-05,PRUNED
81,0.7544657534246575,2026-02-15 06:33:23.678572,2026-02-15 06:35:27.403560,0 days 00:02:03.724988,64,0.02718208428818526,256,0.0013089536134535441,3,1.1785317841396589e-05,PRUNED
82,0.7424657534246575,2026-02-15 06:35:27.404495,2026-02-15 06:38:07.204013,0 days 00:02:39.799518,64,0.04166266556816089,256,0.000948735490180711,3,1.9802166129210023e-05,PRUNED
83,0.7684383561643836,2026-02-15 06:38:07.204833,2026-02-15 06:40:46.540680,0 days 00:02:39.335847,64,0.06339762723863723,256,0.001172841448154217,3,1.6154960457403346e-05,PRUNED
84,0.7517260273972602,2026-02-15 06:40:46.541453,2026-02-15 06:42:49.003746,0 days 00:02:02.462293,64,0.0802069541173367,128,0.0017292761858644975,3,1.3111777038809763e-05,PRUNED
85,0.7413150684931507,2026-02-15 06:42:49.004643,2026-02-15 06:44:52.027437,0 days 00:02:03.022794,64,0.36890577504269706,256,0.0009842381180669268,3,1.1412041542505464e-05,PRUNED
86,0.7445479452054794,2026-02-15 06:44:52.028277,2026-02-15 06:46:54.699613,0 days 00:02:02.671336,64,0.2934861483249556,256,0.0013926817935413667,3,2.030857988443905e-05,PRUNED
87,0.7344109589041096,2026-02-15 06:46:54.700477,2026-02-15 06:48:04.135026,0 days 00:01:09.434549,256,0.0021618235287558935,256,0.0007440114370023461,3,1.577721350411033e-05,PRUNED
88,0.7426849315068493,2026-02-15 06:48:04.135902,2026-02-15 06:50:06.330100,0 days 00:02:02.194198,64,0.12767169988298796,256,0.0019633296465059627,3,1.4217794761609747e-05,PRUNED
89,0.7372602739726027,2026-02-15 06:50:06.330922,2026-02-15 06:52:08.580576,0 days 00:02:02.249654,64,0.03305627314017122,256,0.0029288584631024118,3,1.2939781669010182e-05,PRUNED
90,0.7583561643835617,2026-02-15 06:52:08.581452,2026-02-15 06:54:47.670078,0 days 00:02:39.088626,64,0.014633197467131518,256,0.0006694397870729586,3,1.1204524308921696e-05,PRUNED
91,0.7872876712328767,2026-02-15 06:54:47.670839,2026-02-15 07:00:07.013708,0 days 00:05:19.342869,64,0.057605551098977095,256,0.0008482489950036771,3,1.2540176089631812e-05,PRUNED
92,0.7543561643835617,2026-02-15 07:00:07.014549,2026-02-15 07:02:09.729289,0 days 00:02:02.714740,64,0.05433667847555951,256,0.0011101139536372612,3,1.7897656128138574e-05,PRUNED
93,0.7658082191780822,2026-02-15 07:02:09.730126,2026-02-15 07:04:49.343349,0 days 00:02:39.613223,64,0.0863152950836214,256,0.0009031222110798873,3,1.337883405494802e-05,PRUNED
94,0.7572054794520547,2026-02-15 07:04:49.344098,2026-02-15 07:06:52.210794,0 days 00:02:02.866696,64,0.10913686969941,256,0.0015864191184796195,3,1.5246808642966808e-05,PRUNED
95,0.7574246575342466,2026-02-15 07:06:52.211593,2026-02-15 07:08:55.449743,0 days 00:02:03.238150,64,0.039905440763749245,256,0.0011990427355591333,3,1.0848016003651827e-05,PRUNED
96,0.8012602739726027,2026-02-15 07:08:55.450741,2026-02-15 07:17:56.754952,0 days 00:09:01.304211,64,0.06835778376425752,128,0.0010537384906044987,3,2.4965049160813897e-05,PRUNED
97,0.7558904109589041,2026-02-15 07:17:56.755751,2026-02-15 07:20:36.212156,0 days 00:02:39.456405,64,0.0266949800236925,256,0.0014023323471533502,3,1.2450157544071802e-05,PRUNED
98,0.7695342465753424,2026-02-15 07:20:36.212990,2026-02-15 07:23:15.028453,0 days 00:02:38.815463,64,0.0565570493807379,256,0.0007751455801314251,3,1.674230408048271e-05,PRUNED
99,0.7569315068493151,2026-02-15 07:23:15.029284,2026-02-15 07:25:41.573100,0 days 00:02:26.543816,64,0.07224094628327477,256,0.0005926010359259034,3,1.9085982425394438e-05,PRUNED
